{'eta': 0.4413217924212708, 'gamma': 0.008096022563070404, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6215941501739641, 'sampling_method': 'gradient_based', 'lambda': 2.959896101481238, 'min_child_weight': 3, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048916499999999995, 'tree_no': 40}
{'eta': 0.4878167118919018, 'gamma': 0.022673510335782576, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.7233389643426665, 'sampling_method': 'gradient_based', 'lambda': 2.8484392256801248, 'min_child_weight': 3, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050242625, 'tree_no': 41}
{'eta': 0.49403705188986324, 'gamma': 0.4942509631199286, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9946852052071669, 'sampling_method': 'gradient_based', 'lambda': 1.8349388595950011, 'min_child_weight': 2, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050021499999999997, 'tree_no': 42}
{'eta': 0.4888963269392235, 'gamma': 0.006736823030284778, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.622787797540714, 'sampling_method': 'gradient_based', 'lambda': 2.896473012437776, 'min_child_weight': 3, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048695875, 'tree_no': 43}
{'eta': 0.46511424985319316, 'gamma': 0.4833685866298124, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.612000874494174, 'sampling_method': 'gradient_based', 'lambda': 2.8267121249969054, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048769, 'tree_no': 44}
{'eta': 0.49606316451388305, 'gamma': 0.048737623350025294, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.6237753292473389, 'sampling_method': 'gradient_based', 'lambda': 2.9664054336381183, 'min_child_weight': 4, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049063625, 'tree_no': 45}
{'eta': 0.49452894004922837, 'gamma': 0.1941789515496879, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6267725544432275, 'sampling_method': 'gradient_based', 'lambda': 2.9255268429370656, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048253500000000005, 'tree_no': 46}
{'eta': 0.49829313338547315, 'gamma': 0.0030965420291109713, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6296507529855274, 'sampling_method': 'gradient_based', 'lambda': 2.9606357365698663, 'min_child_weight': 3, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048253624999999994, 'tree_no': 47}
{'eta': 0.4887326366891373, 'gamma': 0.032853212866121806, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6305824674083337, 'sampling_method': 'gradient_based', 'lambda': 2.762416984533207, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048032375, 'tree_no': 48}
{'eta': 0.48398699674096585, 'gamma': 0.488140515004424, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6472354028189379, 'sampling_method': 'gradient_based', 'lambda': 2.331203198634045, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04795875, 'tree_no': 49}
