{'n_estimators': 500, 'learning_rate': 0.1433098675474214, 'gamma': 0.5898736205788803, 'max_depth': 9, 'subsample': 0.6244977841856427, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5179336690402212, 'min_child_weight': 6, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9742448330683625, 'tree_no': 42}
{'n_estimators': 500, 'learning_rate': 0.021135299702372483, 'gamma': 0.8372477301751441, 'max_depth': 10, 'subsample': 0.9421420981539717, 'sampling_method': 'gradient_based', 'reg_lambda': 1.3548726522353223, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9754307594128908, 'tree_no': 43}
{'n_estimators': 500, 'learning_rate': 0.2261629040945277, 'gamma': 0.6995842976780466, 'max_depth': 10, 'subsample': 0.6170792174051936, 'sampling_method': 'gradient_based', 'reg_lambda': 1.124260265416508, 'min_child_weight': 5, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9735584581076776, 'tree_no': 44}
{'n_estimators': 500, 'learning_rate': 0.2912326692265105, 'gamma': 0.8504928348240004, 'max_depth': 8, 'subsample': 0.696963330629921, 'sampling_method': 'gradient_based', 'reg_lambda': 1.7336963298208785, 'min_child_weight': 4, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.975842339478703, 'tree_no': 45}
{'n_estimators': 500, 'learning_rate': 0.17434386960561726, 'gamma': 0.7464992784352006, 'max_depth': 8, 'subsample': 0.8819216665366691, 'sampling_method': 'gradient_based', 'reg_lambda': 1.8663412736244906, 'min_child_weight': 3, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9747338312410616, 'tree_no': 46}
{'n_estimators': 500, 'learning_rate': 0.050611923879109844, 'gamma': 0.5524579629915153, 'max_depth': 4, 'subsample': 0.9963409450651679, 'sampling_method': 'gradient_based', 'reg_lambda': 0.24755321633042482, 'min_child_weight': 3, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9735717676847603, 'tree_no': 47}
{'n_estimators': 500, 'learning_rate': 0.2433898905692141, 'gamma': 0.028028419461455845, 'max_depth': 10, 'subsample': 0.856958003964509, 'sampling_method': 'gradient_based', 'reg_lambda': 1.0584974900502262, 'min_child_weight': 4, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9761374482978046, 'tree_no': 48}
{'n_estimators': 500, 'learning_rate': 0.10876533730458349, 'gamma': 0.3632021092342326, 'max_depth': 5, 'subsample': 0.9331131754843006, 'sampling_method': 'gradient_based', 'reg_lambda': 0.08908722693118531, 'min_child_weight': 6, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9721647844759026, 'tree_no': 49}
{'n_estimators': 500, 'learning_rate': 0.017570926725592073, 'gamma': 0.9017603523862535, 'max_depth': 3, 'subsample': 0.8563281368511949, 'sampling_method': 'gradient_based', 'reg_lambda': 0.048397417170910284, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9685673669246564, 'tree_no': 50}
{'n_estimators': 500, 'learning_rate': 0.1332669553270451, 'gamma': 0.7549700507355541, 'max_depth': 12, 'subsample': 0.6626464504613384, 'sampling_method': 'gradient_based', 'reg_lambda': 1.5832860713073045, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9771210676835081, 'tree_no': 51}
{'n_estimators': 500, 'learning_rate': 0.2913021706805487, 'gamma': 0.09533890198681916, 'max_depth': 12, 'subsample': 0.8381765649519732, 'sampling_method': 'gradient_based', 'reg_lambda': 1.3828271366551337, 'min_child_weight': 3, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9748567791215785, 'tree_no': 52}
{'n_estimators': 500, 'learning_rate': 0.12252461954315497, 'gamma': 0.6541861718820516, 'max_depth': 12, 'subsample': 0.9559579341735873, 'sampling_method': 'gradient_based', 'reg_lambda': 1.4670659441737417, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9736632083000798, 'tree_no': 53}
{'n_estimators': 500, 'learning_rate': 0.23259284582025608, 'gamma': 0.27029748414451227, 'max_depth': 12, 'subsample': 0.9217129972696081, 'sampling_method': 'gradient_based', 'reg_lambda': 1.418654055356889, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9739434381951063, 'tree_no': 54}
{'n_estimators': 500, 'learning_rate': 0.25325375824402363, 'gamma': 0.6422268771934976, 'max_depth': 12, 'subsample': 0.7576720214789254, 'sampling_method': 'gradient_based', 'reg_lambda': 1.4258099522231988, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9772256728778469, 'tree_no': 55}
{'n_estimators': 500, 'learning_rate': 0.13644818798619843, 'gamma': 0.6851416579424412, 'max_depth': 12, 'subsample': 0.9999964567544998, 'sampling_method': 'gradient_based', 'reg_lambda': 1.1552792481940686, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9749481410563268, 'tree_no': 56}
{'n_estimators': 500, 'learning_rate': 0.010401271769094328, 'gamma': 0.5716575169725484, 'max_depth': 12, 'subsample': 0.8039358371071097, 'sampling_method': 'gradient_based', 'reg_lambda': 1.0407914357977557, 'min_child_weight': 2, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9718849840255591, 'tree_no': 57}
